1657376233262,1657376233812,225.89,0.24,40.3
1657376243575,1657376243715,226.04,0.23,41.7
1657376253596,1657376253746,227.05,0.23,42.2
1657376263638,1657376263784,226.3,0.23,42.1
1657376273523,1657376273666,227.43,0.24,42.2
1657376283567,1657376283707,225.85,0.24,40.7
1657376293137,1657376293712,228.61,0.24,42.3
1657376303631,1657376303779,227.12,0.24,41.6
1657376313518,1657376313658,228.45,0.24,42.2
1657376323397,1657376323941,228.4,0.24,42.2
1657376333453,1657376333651,228.1,0.24,42.2
1657376343637,1657376344176,225.96,0.24,40.4
1657376353606,1657376353742,227.13,0.24,41.6
1657376363641,1657376363810,228.47,0.24,42.2
1657376373548,1657376373716,227.08,0.23,42.3
1657376383501,1657376383646,227.33,0.24,41.9
1657376393587,1657376393734,228.66,0.24,42.2
1657376403507,1657376404046,228.56,0.24,42.3
1657376413531,1657376413676,228.44,0.24,42.2
1657376423615,1657376423757,226.83,0.24,42.2
1657376433592,1657376433745,228.44,0.24,42.3
1657376443624,1657376443796,227.36,0.24,42
1657376453447,1657376453649,226.34,0.24,42.2
1657376463522,1657376463668,226.14,0.24,40.9
1657376473575,1657376473713,227.29,0.24,42.2
1657376483531,1657376483670,225.64,0.24,41.6
1657376493175,1657376493726,226.65,0.24,41.5
1657376503626,1657376503776,225.77,0.24,40.4
1657376513557,1657376514104,225.71,0.24,40.2
1657376523574,1657376523712,226.51,0.24,40.9
1657376533608,1657376533753,228.53,0.24,42.2
1657376543576,1657376543719,226.25,0.24,40.3
1657376553190,1657376553761,228.29,0.24,42.3
1657376563606,1657376563816,228.11,0.24,42.2
1657376573555,1657376573754,227.55,0.24,42.2
1657376583453,1657376583649,226.18,0.24,41.6
1657376593567,1657376594115,228.41,0.24,42.3
1657376603510,1657376603671,226.4,0.24,40.6
1657376613578,1657376613780,228.01,0.24,42.2
1657376623343,1657376623884,227.55,0.24,42.1
1657376633520,1657376633660,228.01,0.24,42.3
1657376643563,1657376643707,226.04,0.24,40.4
1657376653506,1657376654044,226.04,0.24,40.9
1657376663534,1657376663678,228.05,0.24,42.3
1657376673579,1657376673729,227.42,0.23,42.3
1657376683623,1657376683774,229.09,0.24,42.4
1657376693591,1657376693730,229.05,0.24,42.4
1657376703189,1657376703735,226.67,0.24,40.5
1657376713618,1657376713764,228.73,0.24,42.3
1657376723550,1657376723690,228.38,0.23,42.3
1657376733289,1657376733837,228.69,0.24,42.3
1657376743630,1657376743841,226.11,0.23,41.7
1657376753603,1657376754215,228.64,0.24,42.3
1657376763602,1657376763770,226.36,0.24,40.4
1657376773514,1657376773676,225.94,0.24,40.5
1657376783600,1657376783751,225.89,0.24,40.4
1657376793187,1657376793733,226.18,0.24,40.3
1657376803592,1657376803753,227.09,0.23,42.1
1657376813541,1657376813702,228.7,0.24,42.3
1657376823587,1657376823731,226.49,0.24,40.3
1657376833483,1657376834029,227.17,0.23,42.3
1657376843637,1657376843800,226.97,0.23,42.3
1657376853563,1657376853729,227.54,0.23,42.2
1657376863276,1657376863852,227.59,0.23,42.1
1657376873621,1657376873786,228.5,0.24,42.2
1657376883514,1657376883671,226.05,0.24,40.1
1657376893587,1657376894127,228.68,0.24,42.2
1657376903545,1657376903689,226.13,0.24,42.2
1657376913598,1657376913766,227.7,0.24,42.2
1657376923266,1657376923816,227.86,0.23,42.3
1657376933523,1657376933691,228.13,0.24,42.2
1657376943429,1657376943986,226.37,0.24,41
1657376953567,1657376953732,227.69,0.24,42.3
1657376963618,1657376963779,226.93,0.23,42.3
1657376973553,1657376974112,226.53,0.24,40.3
1657376983628,1657376983784,228.14,0.23,42.4
1657376993512,1657376993729,228.9,0.24,42.3
1657377003512,1657377004124,226.66,0.24,41.1
1657377013468,1657377013673,229,0.24,42.3
1657377023614,1657377023760,226.92,0.24,41.4
1657377033521,1657377033677,227.23,0.24,41.1
1657377043250,1657377043876,228.84,0.24,42.2
1657377053515,1657377053661,227.4,0.24,41.4
1657377063257,1657377063806,228.55,0.24,42.3
1657377073577,1657377073717,226.36,0.24,41.1
1657377083638,1657377083780,226.58,0.24,41.5
1657377093372,1657377093915,226.5,0.24,41.5
1657377103493,1657377103654,228.16,0.24,42.2
1657377113565,1657377113710,225.99,0.24,40.1
1657377123170,1657377123715,227.48,0.24,42
1657377133503,1657377133656,226.08,0.24,40.6
1657377143600,1657377143760,227.89,0.24,42.3
1657377153337,1657377153911,228.4,0.24,42.2
1657377163560,1657377163774,228.81,0.24,42.3
1657377173533,1657377173683,225.55,0.23,41
1657377183588,1657377184142,227.39,0.23,42.1
1657377193615,1657377193756,227.3,0.23,42
1657377203551,1657377203693,225.45,0.24,40
1657377213610,1657377213746,227.99,0.24,42
1657377223566,1657377223733,225.44,0.24,40
1657377233475,1657377233650,228.03,0.24,42
1657377243593,1657377244147,227.32,0.23,42.1
1657377253583,1657377253742,226.78,0.24,41.5
1657377263500,1657377263663,228.15,0.24,42.1
1657377273591,1657377273758,226.42,0.23,42.1
1657377283506,1657377283708,227.86,0.23,42.3
1657377293577,1657377293722,229,0.24,42.3
1657377303570,1657377303746,227.43,0.24,41.5
1657377313617,1657377313769,226.62,0.24,40.8
1657377323551,1657377323717,228.3,0.24,42.3
1657377333072,1657377333684,226.92,0.24,40.5
1657377343617,1657377343784,229.16,0.24,42.4
1657377353536,1657377354093,229.16,0.24,42.3
1657377363461,1657377363688,227.16,0.24,41.4
1657377373595,1657377373750,228.64,0.24,42.4
1657377383527,1657377383667,229.04,0.24,42.4
1657377393603,1657377393826,226.68,0.23,41.9
1657377403587,1657377403729,226.83,0.24,40.5
1657377413630,1657377413773,228.02,0.24,42
1657377423567,1657377423718,229.48,0.24,42.5
1657377433399,1657377433969,228.1,0.23,42.4
1657377443541,1657377443688,226.73,0.24,40.6
1657377453587,1657377453747,228.07,0.24,42.3
1657377463090,1657377463698,228.61,0.23,42.3
1657377473620,1657377473812,226.59,0.24,40.3
1657377483496,1657377483685,226.31,0.24,40.2
1657377493188,1657377493826,227.66,0.24,42.2
1657377503502,1657377503716,227.37,0.24,41.4
1657377513455,1657377513647,227.5,0.24,41.7
1657377523617,1657377523768,228.89,0.24,42.2
1657377533387,1657377533935,227.06,0.24,40.9
1657377543233,1657377543823,227.45,0.24,41.5
1657377553525,1657377553687,226.58,0.24,40.2
